pal_id,element
64:0,Fire
64:0,Dark
65:0,Medicine
65:0,Dark
41:0,Water
41:0,Dragon
162:0,Neutral
87:0,Grass
87:0,Ground
113:0,Ground
113:0,Grass
178:0,Medicine
178:0,Dark
36:0,Ice
118:1,Grass
118:1,Dark
180:0,Medicine
180:0,Dark
180:0,Fire
151:0,Ice
151:0,Water
134:1,Grass
123:0,Ground
83:0,Neutral
118:0,Grass
66:0,Medicine
66:0,Grass
128:0,Water
116:0,Medicine
116:0,Ice
101:0,Ice
94:0,Dragon
94:0,Water
129:0,Fire
129:0,Ground
79:0,Medicine
79:0,Dark
102:0,Grass
107:0,Ground
135:0,Dark
135:0,Fire
134:0,Ice
165:0,Ground
167:0,Generating
167:0,Electric
141:0,Medicine
141:0,Dark
141:0,Ground
149:0,Dark
68:0,Medicine
68:0,Grass
91:0,Fire
91:0,Dark
117:0,Dark
98:0,Generating
98:0,Electric
147:0,Medicine
147:0,Grass
147:0,Dark
112:0,Fire
115:0,Medicine
115:0,Dark
115:0,Fire
93:0,Fire
59:0,Ice
143:0,Dark
78:0,Fire
175:0,Grass
175:0,Water
56:0,Dark
57:0,Dark
148:0,Dark
74:0,Neutral
82:0,Neutral
124:0,Dragon
122:0,Fire
181:0,Medicine
181:0,Dark
174:0,Fire
152:0,Grass
154:0,Ground
75:0,Water
21:0,Neutral
80:0,Dark
127:0,Neutral
43:1,Fire
139:0,Ground
168:0,Medicine
168:0,Dark
111:0,Fire
132:0,Ice
171:0,Dragon
171:0,Dark
71:0,Medicine
71:0,Dark
54:0,Generating
54:0,Electric
96:0,Generating
96:0,Electric
110:0,Grass
110:0,Ground
109:0,Ground
109:0,Water
166:0,Dark
121:0,Dragon
121:0,Water
47:0,Water
58:0,Fire
153:0,Medicine
153:0,Dark
89:0,Medicine
89:0,Grass
67:0,Medicine
67:0,Grass
55:0,Water
172:0,Generating
172:0,Electric
160:0,Dragon
108:0,Grass
49:0,Neutral
37:0,Water
125:0,Medicine
125:0,Grass
119:0,Medicine
119:0,Ice
140:0,Ground
84:0,Grass
84:0,Dragon
114:0,Ice
170:0,Neutral
70:0,Neutral
81:0,Grass
161:0,Generating
161:0,Electric
130:0,Dark
48:0,Water
48:0,Dark
99:0,Dark
99:0,Ground
131:0,Ground
50:0,Medicine
50:0,Dark
76:0,Medicine
76:0,Grass
2:0,Neutral
105:0,Fire
105:0,Ground
63:0,Dragon
126:0,Ground
52:0,Dark
34:0,Grass
33:0,Neutral
133:0,Ice
92:0,Generating
92:0,Electric
39:0,Neutral
85:0,Fire
32:0,Neutral
100:0,Grass
97:0,Dark
97:0,Water
35:0,Ice
53:0,Neutral
88:0,Water
72:0,Ice
72:0,Water
136:0,Grass
45:0,Water
142:0,Ground
163:0,Generating
163:0,Electric
155:0,Medicine
155:0,Neutral
38:0,Ground
184:0,Dragon
184:0,Ground
90:0,Grass
179:0,Medicine
179:0,Grass
137:0,Fire
169:0,Water
159:0,Ground
173:0,Grass
176:0,Medicine
176:0,Fire
95:0,Ice
46:0,Medicine
46:0,Water
46:0,Dark
177:0,Dark
164:0,Grass
9:0,Water
158:0,Dragon
158:0,Dark
77:0,Medicine
77:0,Grass
18:0,Water
18:0,Ice
61:0,Medicine
61:0,Grass
73:0,Dark
69:0,Medicine
69:0,Dark
106:0,Grass
60:0,Medicine
60:0,Grass
86:0,Ice
86:0,Water
44:0,Neutral
156:0,Ground
120:0,Medicine
120:0,Dark
120:0,Ground
28:0,Ground
150:0,Dark
7:0,Water
104:0,Fire
22:0,Dark
10:0,Grass
10:0,Neutral
103:0,Ice
103:0,Dragon
40:0,Neutral
138:0,Ground
138:0,Grass
62:0,Generating
62:0,Electric
19:0,Dark
43:0,Water
17:0,Water
17:0,Ice
182:0,Dark
182:0,Neutral
29:0,Fire
23:0,Grass
51:0,Neutral
24:0,Dark
4:0,Medicine
4:0,Grass
25:0,Fire
20:0,Neutral
27:0,Dark
5:0,Water
30:0,Dark
30:0,Water
31:0,Ground
16:0,Dark
11:0,Water
3:0,Neutral
26:0,Fire
8:0,Neutral
1:0,Neutral
13:0,Ground
12:0,Grass
12:0,Ground
14:0,Grass
14:0,Neutral
183:0,Fire
42:0,Generating
42:0,Electric
15:0,Generating
15:0,Electric
6:0,Neutral
41:1,Ice
41:1,Dragon
96:1,Ice
195:0,Medicine
195:0,Dark
112:1,Fire
112:1,Dark
108:1,Grass
108:1,Water
85:1,Fire
85:1,Dark
34:1,Dark
7:1,Generating
7:1,Water
7:1,Electric
157:0,Neutral
157:1,Dark
103:1,Fire
103:1,Dragon
9:1,Water
9:1,Dark
132:1,Ground
92:1,Generating
92:1,Medicine
92:1,Dark
92:1,Electric
84:1,Generating
84:1,Electric
84:1,Dragon
138:1,Ground
138:1,Dark
109:1,Ground
109:1,Water
171:1,Dragon
171:1,Fire
32:1,Ground
81:1,Ice
63:1,Dragon
63:1,Water
188:1,Water
83:1,Generating
83:1,Electric
88:1,Water
88:1,Fire
29:1,Ice
200:1,Dark
5:1,Water
5:1,Fire
97:1,Fire
97:1,Water
48:1,Water
48:1,Neutral
55:1,Fire
74:1,Ground
38:1,Ice
80:1,Generating
80:1,Dark
80:1,Electric
91:1,Dark
15:1,Ice
121:1,Dragon
121:1,Fire
79:1,Medicine
79:1,Dark
79:1,Fire
30:1,Neutral
30:1,Water
21:1,Ice
111:1,Dark
159:1,Fire
73:1,Fire
56:1,Ice
186:1,Medicine
186:1,Dark
87:1,Ice
87:1,Ground
27:1,Ice
99:1,Ground
105:1,Ice
105:1,Ground
102:1,Generating
102:1,Electric
100:1,Dark
100:1,Grass
148:1,Grass
203:0,Water
17:1,Generating
17:1,Water
17:1,Electric
18:1,Generating
18:1,Water
18:1,Electric
89:1,Medicine
89:1,Grass
89:1,Fire
131:1,Ice
72:1,Ice
72:1,Ground
141:1,Generating
141:1,Medicine
141:1,Electric
141:1,Ground
93:1,Fire
93:1,Dark
124:1,Dragon
124:1,Grass
98:1,Ice
94:1,Generating
94:1,Dragon
94:1,Electric
129:1,Ice
129:1,Ground
44:1,Grass
76:1,Medicine
76:1,Grass
76:1,Ground
116:1,Medicine
116:1,Neutral
128:1,Water
128:1,Fire
149:1,Dark
149:1,Ice
163:1,Generating
163:1,Electric
163:1,Ground
169:1,Generating
169:1,Water
169:1,Electric
130:1,Neutral
75:1,Ground
122:1,Water
23:1,Fire
142:1,Neutral
37:1,Water
37:1,Ground
54:1,Ice
64:1,Ice
64:1,Dark
113:1,Ground
151:1,Ice
151:1,Fire
78:1,Fire
78:1,Dark
39:1,Ground
191:0,Ice
195:1,Medicine
195:1,Dark
137:1,Dragon
137:1,Fire
194:0,Medicine
194:0,Grass
194:0,Dark
188:0,Fire
200:0,Ice
185:0,Generating
185:0,Electric
197:0,Neutral
202:0,Dragon
186:0,Medicine
186:0,Grass
144:0,Neutral
199:0,Dark
201:0,Water
187:0,Generating
187:0,Dragon
187:0,Electric
198:0,Neutral
190:0,Medicine
190:0,Dark
190:0,Neutral
189:0,Dark
192:0,Dragon
192:0,Water
193:0,Medicine
193:0,Grass
146:0,Dragon
196:0,Dark
196:0,Dragon
145:0,Dark
