pal_id,catchable,min_level,max_level,wild_min_level,wild_max_level,common_wild_min_level,common_wild_max_level,boss_min_level,boss_max_level,day_count,night_count,world_tree_day_count,world_tree_night_count,summary,map_source_url
64:0,true,13,63,13,63,30,30,36,38,545,545,0,0,据说用烽歌龙的外骨骼制成的笛子， 所奏的笛声可越遍千山万水， 因此在古代战事中通常会被用来发出攻击信号。,https://paldb.cc/cn/Palpagos_Islands?pal=BirdDragon&t=dayTimeLocations
65:0,true,20,66,20,66,63,63,27,29,121,121,0,0,它会在黑暗中袭击猎物，用斗篷般的翅膀将其包裹起来。 至于翅膀内侧到底发生了什么，以及为什么会沾染上红色， 这类问题还是不要深究为妙。,https://paldb.cc/cn/Palpagos_Islands?pal=CatVampire&t=dayTimeLocations
41:0,true,11,80,11,80,35,35,40,40,212,212,0,0,它的白色飘带遇到不纯之水就会变黑。 由于它的这种特质可以用于鉴毒，曾致使人类对其疯狂猎捕， 导致它至今仍对人类抱有戒心。,https://paldb.cc/cn/Palpagos_Islands?pal=BlueDragon&t=dayTimeLocations
162:0,true,13,69,13,65,64,64,65,69,32,32,0,0,它在旧画籍上被描绘的体型要比现在娇小得多。 不知为何，近年来该物种的各方面体长数据都观察到急速上升。 照目前增长速度，预计100年后体长会达到现在的10倍。,https://paldb.cc/cn/Palpagos_Islands?pal=LongCat&t=dayTimeLocations
87:0,true,24,80,24,80,26,26,38,38,485,485,0,0,这种帕鲁背部的植被因个体而异。 有段时间曾被视为观赏帕鲁而受人喜爱 甚至曾经出现过森猛犸的专业修剪师。,https://paldb.cc/cn/Palpagos_Islands?pal=GrassMammoth&t=dayTimeLocations
113:0,true,34,80,34,80,34,34,,,10,10,0,0,它全身包裹着超强力装甲， 拥有难以比拟的强度和耐热性。 即使是凝固汽油弹也拿它毫无办法。,https://paldb.cc/cn/Palpagos_Islands?pal=HerculesBeetle&t=dayTimeLocations
178:0,true,75,77,75,77,75,77,,,0,0,26,26,一遇到不明白的事情，就会和脑袋上的蛇一起开会。 但由于所有的蛇本质上都是它自己， 因此它唯一能弄明白的是，自己什么都不明白。,https://paldb.cc/cn/Palpagos_Islands?pal=SnakeGirl&t=dayTimeLocations
36:0,true,8,40,8,40,25,25,11,19,100,100,0,0,由于它拥有相当丰厚的体毛， 因此在冬眠期间会有大量的毛掸儿躲在它的体毛里。 过去的最高记录竟然高达101只。,https://paldb.cc/cn/Palpagos_Islands?pal=MopKing&t=dayTimeLocations
118:1,true,23,77,23,77,47,47,51,52,188,188,1,1,散布的大量孢子可以轻易遮挡阳光。 偶尔会见到它呆站着一动不动， 它这不是在模仿蘑菇， 而是被自己的孢子遮住，什么都看不见。,https://paldb.cc/cn/Palpagos_Islands?pal=MushroomDragon_Dark&t=dayTimeLocations
180:0,true,75,77,75,77,75,77,,,0,0,42,42,闪烁着妖异光芒的提灯，映照出世界的真实样貌。 若是感到提灯的光芒刺眼， 那想必是做了亏心事吧。,https://paldb.cc/cn/Palpagos_Islands?pal=LanternButler&t=dayTimeLocations
151:0,true,36,80,36,80,50,50,55,55,188,8,0,0,它在睡着时会被其他帕鲁误将其当作浮冰，并在它身上休息。 因为性格温柔，即便醒过来也不会强行赶走它们。 但是由于私人空间被侵犯，心中会积攒压力。,https://paldb.cc/cn/Palpagos_Islands?pal=IceNarwhal&t=dayTimeLocations
134:1,true,38,80,42,80,53,53,38,38,84,84,0,0,研究者为了揭开它的内部结构，而将它身上的草都剃光。 结果只剩下满地杂草， 仿佛从最开始这团草里面就空无一物。,https://paldb.cc/cn/Palpagos_Islands?pal=Yeti_Grass&t=dayTimeLocations
123:0,true,31,49,31,48,31,31,47,49,405,405,0,0,行一步，断迷茫。 行两步，舍忧虑。 行三步，离怯懦。 敌虽魍魉，吾亦往。,https://paldb.cc/cn/Palpagos_Islands?pal=FeatherOstrich&t=dayTimeLocations
83:0,true,25,80,45,80,45,45,25,38,12,12,0,0,在遥远的过去，它因美丽的外观而常被选作绘画题材， 是人们相当熟悉的存在。 随着时代变迁，它那美丽的皮毛和角成为了艺术品的材料， 使这种帕鲁更广为人知。,https://paldb.cc/cn/Palpagos_Islands?pal=FengyunDeeper&t=dayTimeLocations
118:0,true,35,77,35,77,47,47,47,49,59,59,1,1,吸入了大量菇咚的孢子会陷入一种神志不清的状态。 偶尔会见到它呆站着一动不动， 它这不是在模仿蘑菇， 而是吸自己的孢子吸嗨了。,https://paldb.cc/cn/Palpagos_Islands?pal=MushroomDragon&t=dayTimeLocations
66:0,true,20,57,20,57,20,20,27,27,13,33,0,0,城堡里开满了国王最喜欢的花朵。 但大型战争爆发，战火即将波及城堡。 这时，一只花朵精灵凭空出现了。 ──摘自童话《国王的花朵》。,https://paldb.cc/cn/Palpagos_Islands?pal=VioletFairy&t=dayTimeLocations
