pal_id,world,x,y,time_of_day,level,is_boss
64:0,palpagos,-731014,-427701,both,61,false
64:0,palpagos,-716834,-428264,both,61,false
64:0,palpagos,-707561,-420183,both,61,false
64:0,palpagos,-698040,-429305,both,61,false
64:0,palpagos,-690400,-426525,both,61,false
64:0,palpagos,-681457,-454024,both,61,false
64:0,palpagos,-674261,-451141,both,61,false
64:0,palpagos,-670298,-458536,both,61,false
64:0,palpagos,-666693,-465537,both,61,false
64:0,palpagos,-662659,-454383,both,61,false
64:0,palpagos,-659120,-227585,both,57,false
64:0,palpagos,-656750,-168721,both,57,false
64:0,palpagos,-653807,-454132,both,61,false
64:0,palpagos,-650396,-164128,both,57,false
64:0,palpagos,-646386,-152976,both,57,false
64:0,palpagos,-641766,-170252,both,57,false
64:0,palpagos,-636941,-154710,both,57,false
64:0,palpagos,-631528,-410781,both,58,false
64:0,palpagos,-627355,-399084,both,58,false
64:0,palpagos,-623234,-171488,both,58,false
64:0,palpagos,-619452,-159224,both,58,false
64:0,palpagos,-615992,-166883,both,58,false
64:0,palpagos,-612966,-142227,both,58,false
64:0,palpagos,-609818,-169178,both,58,false
64:0,palpagos,-606186,-178863,both,58,false
64:0,palpagos,-601877,-165549,both,58,false
64:0,palpagos,-597917,-153849,both,58,false
64:0,palpagos,-592477,-277206,both,57,false
64:0,palpagos,-586402,-398867,both,58,false
64:0,palpagos,-580207,-221438,both,58,false
64:0,palpagos,-575756,-205864,both,58,false
64:0,palpagos,-571223,-202321,both,58,false
64:0,palpagos,-568185,-181882,both,58,false
64:0,palpagos,-564670,-284110,both,57,false
64:0,palpagos,-560319,-272669,both,57,false
64:0,palpagos,-556141,-214810,both,58,false
64:0,palpagos,-553690,-276486,both,57,false
64:0,palpagos,-549868,-213255,both,58,false
64:0,palpagos,-547209,-217836,both,58,false
64:0,palpagos,-542424,-305904,both,57,false
64:0,palpagos,-540322,-346550,both,57,false
64:0,palpagos,-537512,-334952,both,57,false
64:0,palpagos,-535185,-340399,both,57,false
64:0,palpagos,-533392,-285034,both,57,false
64:0,palpagos,-530661,-222756,both,58,false
64:0,palpagos,-528705,-249327,both,58,false
64:0,palpagos,-527354,-359069,both,57,false
64:0,palpagos,-525093,-301582,both,57,false
64:0,palpagos,-522931,-212200,both,58,false
64:0,palpagos,-520678,-325187,both,57,false
64:0,palpagos,-519136,-337001,both,57,false
64:0,palpagos,-516548,-378687,both,,false
64:0,palpagos,-514647,-353801,both,57,false
64:0,palpagos,-511867,-380227,both,57,false
64:0,palpagos,-507662,-272378,both,58,false
64:0,palpagos,-503255,-282350,both,58,false
64:0,palpagos,-495788,-356402,both,57,false
64:0,palpagos,-456225,-97009,both,30,false
64:0,palpagos,-449488,-68462,both,30,false
64:0,palpagos,-443964,-70962,both,30,false
64:0,palpagos,-439122,-171350,both,30,false
64:0,palpagos,-434031,-155008,both,30,false
64:0,palpagos,-429828,-67346,both,30,false
64:0,palpagos,-425611,-83480,both,30,false
64:0,palpagos,-418170,-78923,both,30,false
64:0,palpagos,-411990,-83493,both,30,false
64:0,palpagos,-309332,71940,both,20,false
64:0,palpagos,-287587,30313,both,30,false
64:0,palpagos,-258900,-55692,both,,false
64:0,palpagos,-235463,23189,both,30,false
64:0,palpagos,-228404,48439,both,30,false
64:0,palpagos,-222638,45271,both,30,false
65:0,palpagos,-852069,-375685,both,63,false
65:0,palpagos,-847850,-397773,both,63,false
65:0,palpagos,-846009,-360181,both,63,false
65:0,palpagos,-843336,-413422,both,63,false
65:0,palpagos,-842687,-392522,both,63,false
